model,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_mcc,val_brier,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc,test_brier,threshold_used,threshold_objective
step1_xgb_calibrated,0.70625,0.726027397260274,0.6625,0.75,0.6928104575163399,0.7525,0.766723875791343,0.70625,0.4140882273025311,,0.76875,0.7756410256410257,0.75625,0.78125,0.7658227848101266,0.8152734375,0.8204959839600307,0.76875,0.537668047526382,,0.5202408063243515,pr_curve
step1_lgbm_calibrated,0.6375,0.72,0.45,0.825,0.5538461538461539,0.71890625,0.7313547281332244,0.6375,0.2966479394838265,,0.709375,0.8252427184466019,0.53125,0.8875,0.6463878326996197,0.80046875,0.8147119013119637,0.709375,0.44815301591833956,,0.6718081939264254,pr_curve
step1_rf_calibrated,0.725,0.7307692307692307,0.7125,0.7375,0.7215189873417721,0.7579687500000001,0.756417801079399,0.7250000000000001,0.45014069095231984,,0.79375,0.79375,0.79375,0.79375,0.79375,0.8301953125,0.8228190705559775,0.79375,0.5875,,0.47392260809107833,pr_curve
step2_soft_voting_calibrated,0.71875,0.7397260273972602,0.675,0.7625,0.7058823529411765,0.746875,0.7580522474569383,0.71875,0.4391844835026845,,0.753125,0.7872340425531915,0.69375,0.8125,0.7375415282392026,0.8171484375000001,0.8208554625943418,0.753125,0.5098576583791954,,0.5388990460410467,pr_curve
step3_stacking_calibrated,0.71875,0.7333333333333333,0.6875,0.75,0.7096774193548387,0.7509375,0.7499666018275672,0.71875,0.4383570037596047,,0.76875,0.7756410256410257,0.75625,0.78125,0.7658227848101266,0.830078125,0.8284193184976052,0.76875,0.537668047526382,,0.4880861326468659,pr_curve
